Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Randomise questionnaire elements?,date of birth-year,date of birth-month,date of birth-day,date of birth-inmonths,sex,sex-text,sex-quantised,learning and language impairments-1,learning and language impairments-2,learning and language impairments-3,learning and language impairments-4,learning and language impairments-5,learning and language impairments-text,learning and language impairments-other,vision,vision-text,vision-quantised,hearing,hearing-text,hearing-quantised,languages,languages-text,languages-quantised,Other languages,response-6,response-6-text,response-6-quantised,mask problems,mask problems-text,mask problems-quantised,Difficulty,Difficulty-quantised,Tiring,Tiring-quantised,more info on masks,END QUESTIONNAIRE
1,1627311591499,26/07/2021 14:59:51,1627311592215,1,26/07/2021 15:59:52,58324,8,questionnaire-hykl,,14588745,210725_a101,4340788,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1600x900,1600x757,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version6,No,45,11,,,Female,,1,No learning or language disabilites,,,,,,,Normal vision,,1,No: no hearing issues,,1,English,,1,NONE,Born and raised in the UK,,1,Yes sometimes,,2,2,2,2,2,,57497
1,1627379953175,27/07/2021 09:59:13,1627379953045,1,27/07/2021 10:59:13,58324,8,questionnaire-hykl,,14610178,210719_a41,4294980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,2133x1052,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version1,No,51,8,,,Male,,2,No learning or language disabilites,,,,,,,Corrected-to-normal (wears glasses or contact lenses),,2,No: no hearing issues,,1,English,,1,None,Born and raised in the UK,,1,Yes sometimes,,2,2,2,3,3,low volume and pronunciation without being able to lip read,86255
1,1627385246128,27/07/2021 11:27:26,1627385246035,1,27/07/2021 12:27:26,58324,8,questionnaire-hykl,,14613321,210725_a105,4340784,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.101,1280x1024,1034x876,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version6,No,49,1,,,Female,,1,No learning or language disabilites,,,,,,,Normal vision,,1,No: no hearing issues,,1,English,,1,none,Born and raised in the UK,,1,Yes frequently,,1,3,3,4,4,work in audiology in NHS. Majority of pts have a hearing loss and we struggle with communication both ways,91115
1,1627386862066,27/07/2021 11:54:22,1627386862173,1,27/07/2021 12:54:22,58324,8,questionnaire-hykl,,14614121,210719_a68,4294949,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1280x720,1280x577,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version2,No,23,1,,,Male,,2,No learning or language disabilites,,,,,,,Corrected-to-normal (wears glasses or contact lenses),,2,No: no hearing issues,,1,English,,1,NONE,Born and raised in the UK,,1,Yes sometimes,,2,3,3,3,3,,69139
1,1627398579606,27/07/2021 15:09:39,1627398583812,1,27/07/2021 16:09:43,58324,8,questionnaire-hykl,,14620727,210725_a102,4340787,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version4,No,32,5,,,Female,,1,No learning or language disabilites,,,,,,,Corrected-to-normal (wears glasses or contact lenses),,2,No: no hearing issues,,1,English,,1,NONE,Born and raised in the UK,,1,No,,3,2,2,3,3,,74786
1,1627386752852,27/07/2021 11:52:32,1627386752694,1,27/07/2021 12:52:32,58324,8,questionnaire-hykl,,14614071,210725_a107,4340789,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x768,1033x589,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version1,No,35,10,,,Female,,1,No learning or language disabilites,,,,,,,Corrected-to-normal (wears glasses or contact lenses),,2,No: no hearing issues,,1,English and another language (bilingual),,2,BSL,Born and raised in the UK,,1,No,,3,2,2,4,4,,65805
1,1627300148015,26/07/2021 11:49:08,1627300147772,1,26/07/2021 12:49:07,58324,8,questionnaire-hykl,,14582417,210723_a76,4330758,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1280x720,1280x577,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version8,No,21,8,,,Female,,1,No learning or language disabilites,,,,,,,Corrected-to-normal (wears glasses or contact lenses),,2,Yes: Impaired hearing (please specify),My ears have sometimes been blocked but they are not blocked at the moment.,,English,,1,NONE,Born and raised in the UK,,1,Yes sometimes,,2,3,3,1,1,Sometimes there is absolutely no problem understanding and sometimes it is quite hard.,200757
1,1627298925935,26/07/2021 11:28:45,1627298923714,1,26/07/2021 12:28:43,58324,8,questionnaire-hykl,,14581947,210723_a77,4330755,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1366x768,1366x625,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version4,No,32,4,,,Female,,1,No learning or language disabilites,,,,,,,Corrected-to-normal (wears glasses or contact lenses),,2,No: no hearing issues,,1,English,,1,NONE,Born and raised in the UK,,1,Yes sometimes,,2,3,3,2,2,A lot of the time I just use context cues when I can't hear properly,161878
1,1627293883868,26/07/2021 10:04:43,1627293882645,1,26/07/2021 11:04:42,58324,8,questionnaire-hykl,,14579718,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version3,No,22,5,,,Female,,1,No learning or language disabilites,,,,,,,Normal vision,,1,No: no hearing issues,,1,English,,1,None (fluently). I have an A level in Spanish and can read/speak basic italian.,Born and raised in the UK,,1,Yes sometimes,,2,3,3,3,3,"I have noticed that I only find face masks to be a problem for comphrension when there are other issues making comphrension harder (e.g., the person has a strong accent, the environment is noisy, the person speaks particularly quietly or softly). In general I don't find understanding speech through face masks difficult, only when other factors also make it hard to understand. Masks seem to significantly worsen my ability to understand speech only when there are other factors in combination that are making it hard.",264301
1,1627218746551,25/07/2021 13:12:26,1627218747801,1,25/07/2021 14:12:27,58324,8,questionnaire-hykl,,14567210,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version7,No,23,7,,,Female,,1,No learning or language disabilites,,,,,,,Corrected-to-normal (wears glasses or contact lenses),,2,No: no hearing issues,,1,English and another language (bilingual),,2,"Urdu, French",Raised in the UK from this age (please specify):,5,,Yes sometimes,,2,2,2,3,3,,52509
1,1627214152874,25/07/2021 11:55:52,1627214152335,1,25/07/2021 12:55:52,58324,8,questionnaire-hykl,,14566597,210723_a79,4330754,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,(A) Questionnaire,2,Pass,Pass,UK,English speaker,Version5,No,21,5,,,Male,,2,No learning or language disabilites,,,,,,,Corrected-to-normal (wears glasses or contact lenses),,2,No: no hearing issues,,1,English,,1,NONE,Born and raised in the UK,,1,Yes sometimes,,2,4,4,3,3,,36489
END OF FILE
