"","parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","batch","original_label","videoname","Task.Version","Spreadsheet","Response","display","randomise_blocks","row_number","filename","rowmean","block","Experiment.Version","Participant.OS","Participant.Browser","randomiser_t27m","date.of.birth_year","date.of.birth_month","sex","languages","response_6","response_6_text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response_4_1","response_4_2","response_4_3","response_4_4","response_4_text","response_5","Comments","SUBJECT","ITEM","RT","GROUP","AUDIO","VIDEO","PREDICT","ACOUSTIC","VISUAL","PREDICTABILITY","ACC","CONDITION","TRIAL","BLOCK","AGE","SEX"
"890","210719_c66",14758562,588.010332692647,328.213871052417,0,"discard_flop","51H","flock","aM","vM","H","c","aMvM",2.71337526800335,2.1253649353107,2.38516139695093,1,"14758562_51HaMvM","51H_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14758562?filename=audioFile-33-2.weba","Block1",3,24,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",16,1,9,"Windows 10","Chrome 92.0.4515.107","Version1",10,5,"Male","English","Born and raised in the UK","","Yes sometimes",4,3,"",1,1,"Everything worked well","","","","","NO","MY CHILD ENJOID","210719_c66","51H",328.213871052417,"Children","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",24,1,10.4166666666667,"Male"
"910","210719_c66",14758562,544.772590792543,327.729138411603,0,"discard_tin","74L","kick","aNM","vNM","L","c","aNMvNM",2.99625479179667,2.45148220100413,2.66852565338507,1,"14758562_74LaNMvNM","74L_aNM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14758562?filename=audioFile-67-2.weba","Block1",2,56,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",46,2,9,"Windows 10","Chrome 92.0.4515.107","Version1",10,5,"Male","English","Born and raised in the UK","","Yes sometimes",4,3,"",1,1,"Everything worked well","","","","","NO","MY CHILD ENJOID","210719_c66","74L",327.729138411603,"Children","aNM","vNM","L","No Acoustic Mask","No Visual Mask","Low Predictability","0","aNMvNM",56,2,10.4166666666667,"Male"
"926","210719_c66",14758562,350.815165730212,41.7650710333217,0,"discard_not","91L","notch","aM","vNM","L","c","aMvNM",2.54207478610172,2.19125962037151,2.5003097150684,1,"14758562_91LaMvNM","91L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14758562?filename=audioFile-91-2.weba","Block1",1,78,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version1",10,5,"Male","English","Born and raised in the UK","","Yes sometimes",4,3,"",1,1,"Everything worked well","","","","","NO","MY CHILD ENJOID","210719_c66","91L",41.7650710333217,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",78,3,10.4166666666667,"Male"
"965","210719_c71",14549435,752.876271881729,548.405438548439,0,"unsure_thrat?","133H","throat","aNM","vM","H","c","aNMvM",2.86555983681943,2.1126835649377,2.31715439827099,1,"14549435_133HaNMvM","133H_aNM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14549435?filename=133HaNMvMmp4-86-2.weba","Block1",1,73,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-6srq.csv",76,3,5,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version5",11,3,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"No",2,3,"She can hear well but because of the face mask blocking direct speech coming through, it's easy to find that normal speech as become muffled and difficult to hear. It makes listening a harder task.",2,1,"Everything worked well",NA,NA,NA,NA,"N/A","It was done well and efficiently, and both me and my daughter enjoyed it. In the future, if there are any online research opportunities like this, we'd be interested to take part!","210719_c71","133H",548.405438548439,"Children","aNM","vM","H","No Acoustic Mask","Visual Mask","High Predictability","0","aNMvM",73,3,11.25,"Female"
"988","210719_c71",14549435,1340.87504279276,1241.69080366233,0,"varn","2L","barn","aM","vM","L","c","aMvM",3.19613359495555,1.85525855216279,1.95444279129322,1,"14549435_2LaMvM","2L_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14549435?filename=2LaMvMmp4-92-2.weba","Block1",1,79,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-6srq.csv",76,3,5,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version5",11,3,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"No",2,3,"She can hear well but because of the face mask blocking direct speech coming through, it's easy to find that normal speech as become muffled and difficult to hear. It makes listening a harder task.",2,1,"Everything worked well",NA,NA,NA,NA,"N/A","It was done well and efficiently, and both me and my daughter enjoyed it. In the future, if there are any online research opportunities like this, we'd be interested to take part!","210719_c71","2L",1241.69080366233,"Children","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",79,3,11.25,"Female"
"1001","210719_c71",14549435,2236.85810967433,1987.6887914925,0,"dark","43L","dove","aM","vM","L","c","aMvM",4.22244318425859,1.98558507458426,2.23475439276609,1,"14549435_43LaMvM","43L_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14549435?filename=43LaMvMmp4-17-2.weba","Block1",2,8,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-6srq.csv",16,1,5,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version5",11,3,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"No",2,3,"She can hear well but because of the face mask blocking direct speech coming through, it's easy to find that normal speech as become muffled and difficult to hear. It makes listening a harder task.",2,1,"Everything worked well",NA,NA,NA,NA,"N/A","It was done well and efficiently, and both me and my daughter enjoyed it. In the future, if there are any online research opportunities like this, we'd be interested to take part!","210719_c71","43L",1987.6887914925,"Children","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",8,1,11.25,"Female"
"1084","210723_a76",14582654,1000.90347259005,867.791439790726,0,"tim?","134L","tin","aM","vM","L","a","aMvM",2.78100131339728,1.78009784080723,1.91320987360655,1,"14582654_134LaMvM","134L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14582654?filename=134LaMvMmp4-132-2.weba","Block1",2,117,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv",106,4,8,"Windows 10","Chrome 92.0.4515.107","Version8",21,8,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,1,"Sometimes there is absolutely no problem understanding and sometimes it is quite hard.",2,1,"Everything worked well","",NA,"",NA,"Sometimes it took a while to load my responses.","I really enjoyed doing it - than you so much!","210723_a76","134L",867.791439790726,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",117,4,21.6666666666667,"Female"
"1094","210723_a76",14582654,245.858816558851,13.3788579818614,0,"car?_orcutoff?","17L","calf","aM","vNM","L","a","aMvNM",2.96930361011877,2.72344479355992,2.95592475213691,1,"14582654_17LaMvNM","17L_aM_vNM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14582654?filename=17LaMvNMmp4-103-2.weba","Block1",4,90,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv",76,3,8,"Windows 10","Chrome 92.0.4515.107","Version8",21,8,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,1,"Sometimes there is absolutely no problem understanding and sometimes it is quite hard.",2,1,"Everything worked well","",NA,"",NA,"Sometimes it took a while to load my responses.","I really enjoyed doing it - than you so much!","210723_a76","17L",13.3788579818614,"Adults","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",90,3,21.6666666666667,"Female"
"1109","210723_a76",14582654,535.736507364934,337.008092064394,0,"cop?","32L","crop","aNM","vM","L","a","aNMvM",2.88027042774237,2.34453392037744,2.54326233567798,1,"14582654_32LaNMvM","32L_aNM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14582654?filename=32LaNMvMmp4-38-2.weba","Block1",1,29,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv",16,1,8,"Windows 10","Chrome 92.0.4515.107","Version8",21,8,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,1,"Sometimes there is absolutely no problem understanding and sometimes it is quite hard.",2,1,"Everything worked well","",NA,"",NA,"Sometimes it took a while to load my responses.","I really enjoyed doing it - than you so much!","210723_a76","32L",337.008092064394,"Adults","aNM","vM","L","No Acoustic Mask","Visual Mask","Low Predictability","0","aNMvM",29,1,21.6666666666667,"Female"
"1132","210723_a76",14582654,1835.34566627006,1698.4841211312,0,"gran","60L","grin","aM","vM","L","a","aMvM",4.08848131816913,2.25313565189907,2.38999719703793,1,"14582654_60LaMvM","60L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14582654?filename=60LaMvMmp4-20-2.weba","Block1",1,11,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv",16,1,8,"Windows 10","Chrome 92.0.4515.107","Version8",21,8,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,1,"Sometimes there is absolutely no problem understanding and sometimes it is quite hard.",2,1,"Everything worked well","",NA,"",NA,"Sometimes it took a while to load my responses.","I really enjoyed doing it - than you so much!","210723_a76","60L",1698.4841211312,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",11,1,21.6666666666667,"Female"
"1136","210723_a76",14582654,567.936926837117,400.795253653287,0,"ahead","64L","hen","aM","vM","L","a","aMvM",2.69478102512355,2.12684409828643,2.29398577147026,1,"14582654_64LaMvM","64L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14582654?filename=64LaMvMmp4-107-2.weba","Block1",2,92,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-fbmh.csv",106,4,8,"Windows 10","Chrome 92.0.4515.107","Version8",21,8,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,1,"Sometimes there is absolutely no problem understanding and sometimes it is quite hard.",2,1,"Everything worked well","",NA,"",NA,"Sometimes it took a while to load my responses.","I really enjoyed doing it - than you so much!","210723_a76","64L",400.795253653287,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",92,4,21.6666666666667,"Female"
"1239","210723_a78",14657603,338.213750497384,237.202083830694,0,"plane","50L","flame","aNM","vNM","L","a","aNMvNM",2.7149564645653,2.37674271406792,2.47775438073461,1,"14657603_50LaNMvNM","50L_aNM_vNM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14657603?filename=50LaNMvNMmp4-119-2.weba","Block1",1,104,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-tmfe.csv",106,4,9,"Windows 10","Chrome 92.0.4515.107","Version7",22,3,"Female","English","Born and raised in the UK","","Yes sometimes",3,4,"",5,3,"Everything worked well","","","","","","","210723_a78","50L",237.202083830694,"Adults","aNM","vNM","L","No Acoustic Mask","No Visual Mask","Low Predictability","0","aNMvNM",104,4,22.25,"Female"
"1243","210723_a78",14657603,685.62773464373,660.94559178657,0,"blue","57L","glue","aM","vM","L","a","aMvM",2.84589275715382,2.16026502251009,2.18494716536725,1,"14657603_57LaMvM","57L_aM_vM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14657603?filename=57LaMvMmp4-131-2.weba","Block1",1,116,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-tmfe.csv",106,4,9,"Windows 10","Chrome 92.0.4515.107","Version7",22,3,"Female","English","Born and raised in the UK","","Yes sometimes",3,4,"",5,3,"Everything worked well","","","","","","","210723_a78","57L",660.94559178657,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",116,4,22.25,"Female"
"1274","210723_a78",14657603,396.543076457328,310.889484136778,0,"maim?","8L","blame","aNM","vM","L","a","aNMvM",2.1386377790613,1.74209470260397,1.82774829492452,1,"14657603_8LaNMvM","8L_aNM_vM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14657603?filename=8LaNMvMmp4-30-2.weba","Block1",3,21,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-tmfe.csv",16,1,9,"Windows 10","Chrome 92.0.4515.107","Version7",22,3,"Female","English","Born and raised in the UK","","Yes sometimes",3,4,"",5,3,"Everything worked well","","","","","","","210723_a78","8L",310.889484136778,"Adults","aNM","vM","L","No Acoustic Mask","Visual Mask","Low Predictability","0","aNMvM",21,1,22.25,"Female"
"1343","210723_a79",14566634,344.198019071528,211.080372012688,0,"purt?","35L","curb","aM","vM","L","a","aMvM",2.57165826841562,2.22746024934409,2.36057789640293,1,"14566634_35LaMvM","35L_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14566634?filename=35LaMvMmp4-108-2.weba","Block1",4,93,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-klg9.csv",106,4,8,"Windows 10","Chrome 91.0.4472.124","Version5",21,5,"Male","English","Born and raised in the UK",NA,"Yes sometimes",4,3,"",2,2,"","There were issues with the videos",NA,"",NA,"Occasionally (maybe four or five times throughout the experiment) the video froze before the end, with audio unaffected. After this, the 'OK' button took a while to appear - so the recordings of my speech with a long gap of silence will be those for which the video was affected.","","210723_a79","35L",211.080372012688,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",93,4,21.4166666666667,"Male"
"1350","210723_a79",14566634,394.220082995094,316.642911942424,0,"though?","42L","doll","aNM","vM","L","a","aNMvM",2.36503314220867,1.97081305921358,2.04839023026625,1,"14566634_42LaNMvM","42L_aNM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14566634?filename=42LaNMvMmp4-127-2.weba","Block1",4,112,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-klg9.csv",106,4,8,"Windows 10","Chrome 91.0.4472.124","Version5",21,5,"Male","English","Born and raised in the UK",NA,"Yes sometimes",4,3,"",2,2,"","There were issues with the videos",NA,"",NA,"Occasionally (maybe four or five times throughout the experiment) the video froze before the end, with audio unaffected. After this, the 'OK' button took a while to appear - so the recordings of my speech with a long gap of silence will be those for which the video was affected.","","210723_a79","42L",316.642911942424,"Adults","aNM","vM","L","No Acoustic Mask","Visual Mask","Low Predictability","0","aNMvM",112,4,21.4166666666667,"Male"
"1351","210723_a79",14566634,509.50382367238,260.33450549055,0,"duck?","43L","dove","aM","vM","L","a","aMvM",2.49508889825664,1.98558507458426,2.23475439276609,1,"14566634_43LaMvM","43L_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14566634?filename=43LaMvMmp4-52-2.weba","Block1",2,41,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-klg9.csv",46,2,8,"Windows 10","Chrome 91.0.4472.124","Version5",21,5,"Male","English","Born and raised in the UK",NA,"Yes sometimes",4,3,"",2,2,"","There were issues with the videos",NA,"",NA,"Occasionally (maybe four or five times throughout the experiment) the video froze before the end, with audio unaffected. After this, the 'OK' button took a while to appear - so the recordings of my speech with a long gap of silence will be those for which the video was affected.","","210723_a79","43L",260.33450549055,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",41,2,21.4166666666667,"Male"
"1363","210723_a79",14566634,676.831624707059,552.869819151509,0,"grunt?","60H","grin","aM","vM","H","a","aMvM",3.02911821372851,2.35228658902145,2.476248394577,1,"14566634_60HaMvM","60H_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14566634?filename=60HaMvMmp4-87-2.weba","Block1",1,74,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-klg9.csv",76,3,8,"Windows 10","Chrome 91.0.4472.124","Version5",21,5,"Male","English","Born and raised in the UK",NA,"Yes sometimes",4,3,"",2,2,"","There were issues with the videos",NA,"",NA,"Occasionally (maybe four or five times throughout the experiment) the video froze before the end, with audio unaffected. After this, the 'OK' button took a while to appear - so the recordings of my speech with a long gap of silence will be those for which the video was affected.","","210723_a79","60H",552.869819151509,"Adults","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",74,3,21.4166666666667,"Male"
"1366","210723_a79",14566634,280.218600890582,146.685093946132,0,"hand","64H","hen","aM","vM","H","a","aMvM",2.33681965628841,2.05660105539783,2.19013456234228,1,"14566634_64HaMvM","64H_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14566634?filename=64HaMvMmp4-51-2.weba","Block1",2,40,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-klg9.csv",46,2,8,"Windows 10","Chrome 91.0.4472.124","Version5",21,5,"Male","English","Born and raised in the UK",NA,"Yes sometimes",4,3,"",2,2,"","There were issues with the videos",NA,"",NA,"Occasionally (maybe four or five times throughout the experiment) the video froze before the end, with audio unaffected. After this, the 'OK' button took a while to appear - so the recordings of my speech with a long gap of silence will be those for which the video was affected.","","210723_a79","64H",146.685093946132,"Adults","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",40,2,21.4166666666667,"Male"
"1509","210725_a118",14685140,1561.10705382326,1400.20108791413,0,"mud","89L","mug","aM","vNM","L","a","aMvNM",4.14138729797395,2.58028024415069,2.74118621005982,1,"14685140_89LaMvNM","89L_aM_vNM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14685140?filename=audioFile-115-2.weba","Block1",3,100,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-75wy.csv",106,4,9,"Mac OS 10.15","Firefox 90.0","Version3",50,11,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",2,2,"Everything worked well","There were issues with the videos","","","","Sometimes the video box with the arrow on was smaller and then the video appeared in the bottom right of the browser instead of in the middle, until the Next button appeared, when it went back to normal. I could always see the video, but it wasn't always in the same place.","","210725_a118","89L",1400.20108791413,"Adults","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",100,4,50.9166666666667,"Male"
"1516","210725_a118",14685140,1375.92379439186,1236.78474838882,0,"pearl","96L","pile","aM","vM","L","a","aMvM",3.49022884278693,2.11430504839507,2.25344409439811,1,"14685140_96LaMvM","96L_aM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14685140?filename=audioFile-12-2.weba","Block1",2,3,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-75wy.csv",16,1,9,"Mac OS 10.15","Firefox 90.0","Version3",50,11,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",2,2,"Everything worked well","There were issues with the videos","","","","Sometimes the video box with the arrow on was smaller and then the video appeared in the bottom right of the browser instead of in the middle, until the Next button appeared, when it went back to normal. I could always see the video, but it wasn't always in the same place.","","210725_a118","96L",1236.78474838882,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",3,1,50.9166666666667,"Male"
"1530","210725_a120",14668484,1448.08112761051,1235.83261570581,0,"sleeves","111L","seeds","aM","vM","L","a","aMvM",3.15646301177502,1.70838188416451,1.92063039606921,1,"14668484_111LaMvM","111L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14668484?filename=111LaMvMmp4-110-2.weba","Block1",2,95,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",106,4,9,"Windows 10","Chrome 92.0.4515.107","Version4",20,9,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,2,"","There were issues with the videos","","","","Around 3 videos lagged whilst playing","","210725_a120","111L",1235.83261570581,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",95,4,20.75,"Male"
"1540","210725_a120",14668484,1582.21946674489,1360.39657942097,0,"I don't know","121L","spool","aNM","vNM","L","a","aNMvNM",3.67533371992754,2.09311425318265,2.31493714050657,1,"14668484_121LaNMvNM","121L_aNM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14668484?filename=121LaNMvNMmp4-84-2.weba","Block1",3,71,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version4",20,9,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,2,"","There were issues with the videos","","","","Around 3 videos lagged whilst playing","","210725_a120","121L",1360.39657942097,"Adults","aNM","vNM","L","No Acoustic Mask","No Visual Mask","Low Predictability","0","aNMvNM",71,3,20.75,"Male"
"1566","210725_a120",14668484,1519.08103068611,1336.23309823661,0,"I don't know","21L","clerk","aM","vM","L","a","aMvM",3.67793384906544,2.15885281837933,2.34170075082883,1,"14668484_21LaMvM","21L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14668484?filename=21LaMvMmp4-89-2.weba","Block1",3,76,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version4",20,9,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,2,"","There were issues with the videos","","","","Around 3 videos lagged whilst playing","","210725_a120","21L",1336.23309823661,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",76,3,20.75,"Male"
"1579","210725_a120",14668484,1591.16944318467,1471.26110985132,0,"crowns","33L","crown","aM","vM","L","a","aMvM",3.54932110894134,1.95815166575667,2.07805999909002,1,"14668484_33LaMvM","33L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14668484?filename=33LaMvMmp4-122-2.weba","Block1",2,107,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",106,4,9,"Windows 10","Chrome 92.0.4515.107","Version4",20,9,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,2,"","There were issues with the videos","","","","Around 3 videos lagged whilst playing","","210725_a120","33L",1471.26110985132,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",107,4,20.75,"Male"
"1589","210725_a120",14668484,1176.20411432804,997.34355057748,0,"I don't know","43L","dove","aNM","vM","L","a","aNMvM",3.15567469074071,1.97947057641267,2.15833114016323,1,"14668484_43LaNMvM","43L_aNM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14668484?filename=43LaNMvMmp4-119-2.weba","Block1",2,104,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",106,4,9,"Windows 10","Chrome 92.0.4515.107","Version4",20,9,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,2,"","There were issues with the videos","","","","Around 3 videos lagged whilst playing","","210725_a120","43L",997.34355057748,"Adults","aNM","vM","L","No Acoustic Mask","Visual Mask","Low Predictability","0","aNMvM",104,4,20.75,"Male"
"1591","210725_a120",14668484,2075.08794894124,1969.89319585481,0,"self-correction and I don't know","47H","drum","aM","vM","H","a","aMvM",4.26513983333325,2.19005188439201,2.29524663747844,1,"14668484_47HaMvM","47H_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14668484?filename=47HaMvMmp4-56-2.weba","Block1",4,45,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",46,2,9,"Windows 10","Chrome 92.0.4515.107","Version4",20,9,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,2,"","There were issues with the videos","","","","Around 3 videos lagged whilst playing","","210725_a120","47H",1969.89319585481,"Adults","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",45,2,20.75,"Male"
"1603","210725_a120",14668484,1233.63660449672,1159.76283638076,0,"I don't know","62L","hay","aM","vM","L","a","aMvM",2.89240891111109,1.65877230661437,1.73264607473033,1,"14668484_62LaMvM","62L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14668484?filename=62LaMvMmp4-77-2.weba","Block1",3,64,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version4",20,9,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,2,"","There were issues with the videos","","","","Around 3 videos lagged whilst playing","","210725_a120","62L",1159.76283638076,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",64,3,20.75,"Male"
"1615","210725_a120",14668484,1569.52923638525,1360.60810543288,0,"I don't know","74L","kick","aM","vM","L","a","aMvM",3.98238045802461,2.41285122163936,2.62177235259173,1,"14668484_74LaMvM","74L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14668484?filename=74LaMvMmp4-133-2.weba","Block1",2,118,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",106,4,9,"Windows 10","Chrome 92.0.4515.107","Version4",20,9,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,2,"","There were issues with the videos","","","","Around 3 videos lagged whilst playing","","210725_a120","74L",1360.60810543288,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",118,4,20.75,"Male"
"1945","210725_a156",14930256,1004.81313027311,685.162041684439,0,"'folks'","53H","frogs","aM","vM","H","a","aMvM",2.71268834960634,1.70787521933323,2.0275263079219,1,"14930256_53HaMvM","53H_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14930256?filename=53HaMvMmp4-132-2.weba","Block1",4,115,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-fbmh.csv",104,4,9,"Windows 10","Chrome 92.0.4515.131","Version8",27,6,"Male","English","Born and raised in the UK","","No",2,1,"Usually I can understand others without any issue but some have struggled to understand me while I've worn a mask",2,2,"Everything worked well","","","","","","","210725_a156","53H",685.162041684439,"Adults","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",115,4,27.5,"Male"
